price,location,bedroom,bathroom,garage,floorSize,propertyType
1799000.0,Zonnebloem,2.0,1.0,1.0,,Apartment
5700000.0,Constantia,3.0,3.0,2.0,253.0,Townhouse
8750000.0,Green Point,2.0,2.0,2.0,175.0,Apartment
2775000.0,Kenilworth,3.0,2.5,3.0,139.0,Townhouse
5995000.0,Constantia,3.0,3.0,3.0,,House
1895000.0,Pinelands,2.0,1.0,2.0,75.0,Apartment
1750000.0,Wynberg Upper,1.0,1.0,1.0,53.0,Apartment
2900000.0,Tamboerskloof,3.0,1.0,1.0,92.0,Apartment
975000.0,Cape Town City Centre,1.0,1.0,1.0,32.0,Apartment
3200000.0,Diep River,5.0,3.0,4.0,544.0,House
6995000.0,Walmer Estate,3.0,3.0,4.0,402.0,House
1050000.0,Ottery,2.0,1.0,1.0,,Apartment
15999000.0,Sea Point,4.0,4.5,2.0,300.0,Apartment
4450000.0,Tokai,4.0,3.0,5.0,,House
13950000.0,Camps Bay,4.0,3.5,4.0,659.0,House
20000000.0,Kenilworth Upper,8.0,8.0,11.0,,House
4850000.0,Gardens,4.0,4.5,2.0,252.0,House
1599000.0,Claremont Upper,1.0,1.0,1.0,54.0,Apartment
4950000.0,Sea Point,2.0,2.0,1.0,281.0,House
690000.0,Parkwood,3.0,1.0,6.0,,House
3500000.0,Bantry Bay,2.0,1.0,,86.0,Apartment
6250000.0,Sea Point,3.0,3.0,2.0,140.0,Townhouse
1500000.0,Kenilworth,2.0,1.0,2.0,,Apartment
2850000.0,Sea Point,1.0,2.0,1.0,67.0,Apartment
1090000.0,Zonnebloem,,1.0,1.0,32.0,Apartment
720000.0,Thornton,1.0,1.0,1.0,,Apartment
8500000.0,Waterfront,1.0,1.0,1.0,126.0,Apartment
4950000.0,Tamboerskloof,2.0,2.0,1.0,93.0,Apartment
849000.0,Langa,4.0,2.0,2.0,256.0,House
2395000.0,Southfield,4.0,2.0,4.0,530.0,House
3250000.0,Pinelands,3.0,2.0,3.0,818.0,House
1900000.0,Observatory,2.0,2.0,1.0,65.0,House
9250000.0,Green Point,6.0,7.0,3.0,,House
3295000.0,Diep River,4.0,2.0,1.0,651.0,House
1825000.0,Lakeside,2.0,1.0,2.0,73.0,Townhouse
5900000.0,Rondebosch,2.0,2.0,2.0,93.0,Apartment
3200000.0,Pinelands,3.0,2.0,,818.0,House
5000000.0,Foreshore,2.0,2.0,2.0,155.0,Apartment
2795000.0,Rondebosch,2.0,2.0,1.0,73.0,Apartment
12995000.0,Waterfront,2.0,2.0,2.0,143.0,Apartment
2850000.0,Kenwyn,4.0,2.0,4.0,622.0,House
15950000.0,Bantry Bay,3.0,3.5,2.0,261.0,Apartment
2495000.0,Kenilworth,3.0,1.0,1.0,263.0,House
18995000.0,Bantry Bay,2.0,2.0,1.0,159.0,Apartment
5950000.0,Newlands,3.0,2.5,4.0,231.0,Townhouse
2350000.0,Sea Point,2.0,1.0,,78.0,Apartment
3150000.0,Oranjezicht,2.0,1.0,1.0,91.0,Apartment
8700000.0,Rondebosch,5.0,3.0,2.0,936.0,House
795000.0,Thornton,2.0,1.0,1.0,,Apartment
6950000.0,Newlands,3.0,3.5,4.0,898.0,House
1250000.0,Muizenberg,3.0,2.0,2.0,79.0,Apartment
